"id","residenceId","buildingId","documentType","filetype","documentType","url"
99999,,,inspection,pdf,inspection,https://example.com/fake.pdf
1633735,,,inspection,pdf,inspection,https://documents.bcdn.se/a9/01/5803e049a3c6/.pdf
2094900,,,inspection,pdf,inspection,https://documents.bcdn.se/fb/b7/1955503423c9/3943212.pdf
2111992,,57798226,inspection,pdf,inspection,https://documents.bcdn.se/e4/a7/4e46a3067624/S13988-CFIL50JJGDFANJ5R9DOB.pdf
2458198,2384110,,inspection,pdf,inspection,https://documents.bcdn.se/9a/ad/37d4e320d8db/CFIL5HGG82SSHI21J9NR_20240602010046.pdf
2508700,3728236,30476141,inspection,pdf,inspection,https://documents.bcdn.se/1f/30/d33e7bcf7ea8/DOK5FCCB97AAE264D9E9144E2E3802F95F9.pdf
2599822,,35070841,inspection,pdf,inspection,https://documents.bcdn.se/a3/29/e0bf66cf7902/DOK20F5CDAC83E64D4198D9BAA42F82309B.pdf
2647796,2230604,37352471,inspection,pdf,inspection,https://documents.bcdn.se/53/3d/1bb5aeff165a/besiktningsprotokoll-guldvingevagen-19.pdf
2680999,1745652,56492403,inspection,pdf,inspection,https://documents.bcdn.se/31/b3/27b638462731/6615736.pdf
2736848,2135774,39298421,inspection,pdf,inspection,https://documents.bcdn.se/19/38/a457c7b28edb/CFIL5K9SBCK1MNBGSMJ3.pdf
2841156,2386352,42349261,inspection,pdf,inspection,https://documents.bcdn.se/53/ec/c75851ccb048/Besiktningsprotokoll-OBJ18103_1876055635.pdf
2843956,1812998,42452889,inspection,pdf,inspection,https://documents.bcdn.se/69/b1/ca5b3eb33f06/7894504.pdf
2998892,1943918,34321493,inspection,pdf,inspection,https://documents.bcdn.se/4f/3f/f43fdd6cc97b/DOK1EF2142A50AD44F69D7998479A9A6BFA.pdf
3009364,,,inspection,pdf,inspection,https://documents.bcdn.se/fc/79/3ed7fc84a1ce/2_a_rs_besiktning_brf_boklok_geografin.pdf
3010022,3723373,47243687,inspection,pdf,inspection,https://documents.bcdn.se/80/70/6ea1e8a4867c/DOK9994EA578A7C44BFB35C36D3AB12C165.pdf
3060045,2562825,,inspection,pdf,inspection,https://documents.bcdn.se/2e/de/af1377286bd5/besiktning.pdf
3065931,2996295,46969736,inspection,pdf,inspection,https://documents.bcdn.se/e9/ff/d994994cd034/besiktningsprotokoll_horn_35.pdf
3075757,1589860,49277239,inspection,pdf,inspection,https://documents.bcdn.se/c6/56/ebc3e3482706/DOKF7122B9D02A94831BEE127D395BB7F4B.pdf
3079120,1615038,54829749,inspection,pdf,inspection,https://documents.bcdn.se/a1/ca/03abd540262e/Gudmuntorp_SBR_Överlåtelsebesiktning_Sta.pdf
3082884,3379974,,inspection,pdf,inspection,https://documents.bcdn.se/f8/cc/647554816db0/Utlatande-overlatelsebesiktning-OBJ17600_1935120784.pdf
3088251,,56796992,inspection,pdf,inspection,https://documents.bcdn.se/47/0e/b77a4e76ba5c/.pdf
3129240,1737145,42881950,inspection,pdf,inspection,https://documents.bcdn.se/a6/44/eeaf68d5930f/lillangsvagen-89-dokupl24436f1665305_3238563.pdf
3149364,1566435,55811897,inspection,pdf,inspection,https://documents.bcdn.se/35/a9/2af9802e6301/Grodby_2-107_Overlatelsebesiktning-003-OBJ18103_1921554861.pdf
3212858,4087076,57575132,inspection,pdf,inspection,https://documents.bcdn.se/c1/c9/66197c47b656/87f6cef0-d930-11ed-9047-e1e34d12c30a.pdf
3223862,2529199,55386002,inspection,pdf,inspection,https://documents.bcdn.se/9d/82/c485920162ad/Besiktningsprotokoll-CMVilla5CPRKLHTA9Q8GB6O.pdf
3230352,2377329,55556144,inspection,pdf,inspection,https://documents.bcdn.se/5b/43/d540d7b1f036/DOK83D306D42A2F47B6A5BE1DED6F337248.pdf
3241768,3730662,56042037,inspection,pdf,inspection,https://documents.bcdn.se/85/0b/dfaecb2d76bc/DOK6CF31743286E4412A51673CB68D71885.pdf
3247012,2140892,2379377,inspection,pdf,inspection,https://documents.bcdn.se/70/e0/d350542dadc0/besiktningsprotokoll.pdf
3250266,2180909,55784984,inspection,pdf,inspection,https://documents.bcdn.se/19/c0/2d0846d01d4a/DOKE75E8C7F6C16404F8FE535D00D58C0B7_20241108130237.pdf
3252197,,,inspection,pdf,inspection,https://documents.bcdn.se/ae/d1/f2c8451fdcf7/f1a68e20-ee67-11ed-be5f-35126442d4a5.pdf
3256123,1624453,,inspection,pdf,inspection,https://documents.bcdn.se/1d/6a/6bbc16fc1971/Besiktning_Götuddevägen_23.pdf
3260458,2076808,55828237,inspection,pdf,inspection,https://documents.bcdn.se/66/88/8fea32092515/DOKDE816BDCBBC840B99D2AEEB7BC69C29C_20230606120119.pdf
3282366,2383028,56334478,inspection,pdf,inspection,https://documents.bcdn.se/f0/1c/173fbf14d886/6358018.pdf
3298479,2487171,56321997,inspection,pdf,inspection,https://documents.bcdn.se/10/bf/adbdd00086d3/8184311.pdf
3326992,4335072,,inspection,pdf,inspection,https://documents.bcdn.se/4d/c3/76157e0ae3bb/BesiktningSteg1Bollgränd8.pdf
3333972,1663041,56571579,inspection,pdf,inspection,https://documents.bcdn.se/b7/16/c076aab65265/DOKCBE79B4AE74C4E218CFE349B8CE96794.pdf
3352756,2527783,56774692,inspection,pdf,inspection,https://documents.bcdn.se/03/2f/7ca573a2d40d/Besiktningsprotokoll_Blåklintsvägen_1.pdf
3353518,2058782,37107308,inspection,pdf,inspection,https://documents.bcdn.se/fc/c0/0ea0f66007b6/DOKFD0A3B7ED50D4D3AA63859C1B2D41D61_20241126101120.pdf
3354050,,56802880,inspection,pdf,inspection,https://documents.bcdn.se/75/54/c8ecf447287c/Besiktningsprotokoll-OBJ14346_1939589620.pdf
3363622,4273956,56902325,inspection,pdf,inspection,https://documents.bcdn.se/55/c9/59b5808bd691/Besiktningsprotokoll_Klostergatan_2c.pdf
3374200,2236585,57034140,inspection,pdf,inspection,https://documents.bcdn.se/d0/73/68eecae9fbf2/DOKE1CFFD91FAB0485AB6F1414F561B6C46.pdf
3377046,3846349,,inspection,pdf,inspection,https://documents.bcdn.se/2a/a3/207f41a79b9e/3884281.pdf
3387251,2607391,,inspection,pdf,inspection,https://documents.bcdn.se/52/23/2bfe571be233/DOK33361DBBB2CF405C8037E11627FF0E15.pdf
3391249,1577847,57272347,inspection,pdf,inspection,https://documents.bcdn.se/3f/6a/dff6b1e7b2e1/Besiktning_Folkegatan_19_Oxelösund.pdf
3395398,2027722,38171102,inspection,pdf,inspection,https://documents.bcdn.se/e8/34/88c9af235a38/2024_002-sigtuna-aslunda-117-utlatande-besiktning-saljare-2024.pdf
3397873,2875688,57298498,inspection,pdf,inspection,https://documents.bcdn.se/d3/dc/aff1fe52c37a/besiktningsprotokoll_linv..pdf
3399679,2225837,57162945,inspection,pdf,inspection,https://documents.bcdn.se/21/32/a03feae0e776/Besiktning-CMVilla58QJB4H4EKM82RL5.pdf
3408431,2025351,,inspection,pdf,inspection,https://documents.bcdn.se/12/ba/e2f55765d780/besiktning.pdf
3410269,1751304,57330358,inspection,pdf,inspection,https://documents.bcdn.se/49/10/2bbeca33a3a9/besiktningsprotokoll_varudeklarerat_långbergsgatan_15.pdf
3411351,,,inspection,pdf,inspection,https://documents.bcdn.se/f2/69/bfda15fe6398/frejavagen-5-dokupl24436f1801613_3754277.pdf
3415774,2609396,57347631,inspection,pdf,inspection,https://documents.bcdn.se/79/6f/f3fcc36731bb/besiktning-brunnsgatan-OBJ18103_2046078622.pdf
3419693,2224377,32781394,inspection,pdf,inspection,https://documents.bcdn.se/2b/9d/7c2b5a7097ca/DOK9C41FE2F343A4233B4A75D5410265542.pdf
3428028,4303234,,inspection,pdf,inspection,https://documents.bcdn.se/b8/7c/d10704e91554/DOK7B1ACE4709D74907A84D2ADCDE12E396_20240909112750.pdf
3436658,3685323,,inspection,pdf,inspection,https://documents.bcdn.se/f6/de/580fa79ab053/DOK4211016922484FD89FE0A14F6A317901.pdf
3437584,2072650,2340383,inspection,pdf,inspection,https://documents.bcdn.se/4d/5f/182853fcb782/Övelåtelsebesiktning.pdf
3439830,3197120,,inspection,pdf,inspection,https://documents.bcdn.se/8a/3b/7c410fc69505/8182360.pdf
3442083,2153610,,inspection,pdf,inspection,https://documents.bcdn.se/34/df/3ee9de198939/DOKAF0BAEF61D374413AEA5F841D5206E41.pdf
3442085,2153610,,inspection,pdf,inspection,https://documents.bcdn.se/e6/3a/5004821b5c54/DOKDA91CE75AA544E95BA4EEE6D7B40F7B8.pdf
3446321,3745300,,inspection,pdf,inspection,https://documents.bcdn.se/02/49/3d411e01bfea/gustav-iiis-vag-49-dokupl24436f1783877_3619409.pdf
3446322,3745300,,inspection,pdf,inspection,https://documents.bcdn.se/af/a7/a784c9805433/gustav-iiis-vag-49-dokupl24436f1783877_3619411.pdf
3446323,3745300,,inspection,pdf,inspection,https://documents.bcdn.se/c3/33/98aa9f46930f/gustav-iiis-vag-49-dokupl24436f1783877_3619413.pdf
3449487,3236571,,inspection,pdf,inspection,https://documents.bcdn.se/c2/19/c1432818e4d5/Besiktningsprotokoll_GA_Björboholmsv._12.pdf
3453932,,,inspection,pdf,inspection,https://documents.bcdn.se/2b/75/a5f0ac315ec0/DOK7C61A90532354B66B02446C8FBFA048B.pdf
3458420,3261769,,inspection,pdf,inspection,https://documents.bcdn.se/6e/d7/cf9e3f44b09d/DOK18F10BA3B51740ADBBDFB65327FB9D0F_20250114111303.pdf
3461774,3284151,,inspection,pdf,inspection,https://documents.bcdn.se/01/9b/1ca0f152cc23/7972887.pdf
3462869,3818295,,inspection,pdf,inspection,https://documents.bcdn.se/ea/61/81d9fd793b78/CFIL5H5J1QI93M9MOPI4_20240422121440.pdf
3464793,2556164,,inspection,pdf,inspection,https://documents.bcdn.se/96/19/7dbfc8a01781/Västerbyvägen_2_Norsholm_Besiktning_V2.pdf
3467369,2575821,57657964,inspection,pdf,inspection,https://documents.bcdn.se/c3/f1/4804c893ceac/DOK0F0861FFD914495C843FA1B66C00FBC1_20240426112830.pdf
3470524,3136185,59634334,inspection,pdf,inspection,https://documents.bcdn.se/5d/60/5820fc29ddb3/besiktningsprotokoll.pdf
3470667,2267652,57693302,inspection,pdf,inspection,https://documents.bcdn.se/86/d5/2c21f1902e57/besiktning_varudeklarerat.pdf
3477480,3186947,,inspection,pdf,inspection,https://documents.bcdn.se/61/2c/c4e1c68f4c8d/DOK912CD09F6C43458F80D9CEDCB6A7C4FA_20241114113738.pdf
3478522,2710553,,inspection,pdf,inspection,https://documents.bcdn.se/42/fb/fc8c55f7e3b7/Överlåtelsebesiktning_Svarvaregatan_5.pdf
3479001,3171732,,inspection,pdf,inspection,https://documents.bcdn.se/5e/f9/a5f458a715ba/DOK12737B93FDDB4E2199D497EB72E22F73_20241116114705.pdf
3479582,2382161,57754345,inspection,pdf,inspection,https://documents.bcdn.se/0e/40/3418f3f4b8eb/Besiktningsprotokoll-OBJ18103_2058763093.pdf
3481457,3726652,56094546,inspection,pdf,inspection,https://documents.bcdn.se/36/b6/5bc5dd785abe/DOK952E13B194924C549EC3EDCEE4779D4C.pdf
3481845,1981798,57776001,inspection,pdf,inspection,https://documents.bcdn.se/b5/a2/feb87dff4a72/DOK9EF2DB8B32A64756A08E3B5B6EB65C6A.pdf
3484255,2596997,57789775,inspection,pdf,inspection,https://documents.bcdn.se/e1/cf/b609db18cf70/Besiktningsprotokoll-gasthus-OBJ18103_2051483973.pdf
3484256,2596997,57789775,inspection,pdf,inspection,https://documents.bcdn.se/a4/a3/1349d378f3e8/Besiktningsprotokoll-OBJ18103_2051483973.pdf
3487424,2549248,,inspection,pdf,inspection,https://documents.bcdn.se/23/2b/0e3658225c33/DOK5FFF339AFCD4473BBFA0BCA5B8F11F54.pdf
3487512,1890176,57802418,inspection,pdf,inspection,https://documents.bcdn.se/17/3b/6d64a536051e/slipvagen-24-dokupl24436f1769141_3558227.pdf
3489295,3294820,42184740,inspection,pdf,inspection,https://documents.bcdn.se/d0/15/8f631028fcd5/besiktningaprotokoll.pdf
3491292,3658669,,inspection,pdf,inspection,https://documents.bcdn.se/c5/30/e3bbc92347ff/besiktning_varudeklarerat.pdf
3491589,1538239,57820875,inspection,pdf,inspection,https://documents.bcdn.se/bb/2c/f7bdcb44526a/f6e89a16c312ac3bc699ddb686c60296_Besiktningsutlåtande.pdf
3495628,3206736,57784876,inspection,pdf,inspection,https://documents.bcdn.se/e4/3d/23a42644df6c/.pdf
3496271,223455,2309460,inspection,pdf,inspection,https://documents.bcdn.se/77/35/e6f7f3c1442b/CFIL5HDQR49G09898US0.pdf
3500603,1619217,57869189,inspection,pdf,inspection,https://documents.bcdn.se/de/4c/85845d687951/besiktning.pdf
3500717,3261436,,inspection,pdf,inspection,https://documents.bcdn.se/ca/b2/3c5a41b3c55e/DOKD59BB72454C4468CA237018C358766FC_20241115133045.pdf
3500864,,2340759,inspection,pdf,inspection,https://documents.bcdn.se/45/1e/c1b36e4467f9/facf5210-b64e-11ef-aa46-17d54177c121.pdf
3508231,1626898,,inspection,pdf,inspection,https://documents.bcdn.se/3f/8b/07fb53fa0534/3faa17d0-218a-11ef-b81c-db1f75163859.pdf
3512721,2083761,,inspection,pdf,inspection,https://documents.bcdn.se/ef/00/a885a01c4ceb/2024-400_Besiktning_Läkarvägen_6a_Spånga.pdf
3512924,1938183,,inspection,pdf,inspection,https://documents.bcdn.se/5c/a9/3fc2d0f3132c/besiktningsprotokoll.pdf
3515311,3639775,,inspection,pdf,inspection,https://documents.bcdn.se/fd/0d/5e0d9d422f6c/DOK35F4C2A96A20414DB44FCA811FEBEF6C_20240613160009.pdf
3516171,2347662,57971032,inspection,pdf,inspection,https://documents.bcdn.se/6c/fa/05a80a9f8b54/DOK220BEB6FCA544EE1BE8BBDA9F60F6BB9_20240612113021.pdf
3516245,3502411,,inspection,pdf,inspection,https://documents.bcdn.se/5d/ca/f2183a0efc43/bergsvagen_9_45297_stromstad_2024_besiktningsutlatande_skyddat_kop_su_2024.pdf
3516264,1952425,,inspection,pdf,inspection,https://documents.bcdn.se/2e/2e/fc18a655d6ea/DOK6C884F1D0B9842CDB2B99F20B6E5E769_20241120105733.pdf
3516496,1515822,,inspection,pdf,inspection,https://documents.bcdn.se/43/7f/1242d402d45c/DOKC0A19B9DDF7D4CE8A9C2DBE65FE749F3_20241113185032.pdf
3517640,2506422,,inspection,pdf,inspection,https://documents.bcdn.se/9a/eb/1d4fdaef3b6c/Möllegatan_Besiktning.pdf
