timestamp,run_name,notes,true_positives,false_positives,false_negatives,accuracy,precision,recall,f1_score
2025-04-11T15:08:29.572891,Post-RadonRemoval,Removed radon clarified boolean semantics,150,40,52,0.6198,0.7895,0.7426,0.7653
2025-04-11T16:41:12.995210,more_annotations,re-evaluations with more annotations,242,54,56,0.6875,0.8176,0.8121,0.8148
2025-04-14T13:29:57.991719,2_pdfs,Checking latest 2 PDFs for evaluation,50,10,10,0.7143,0.8333,0.8333,0.8333
2025-04-14T17:39:01.066981,mid_refactor_test,Testing evaluation script mid refactor,244,54,54,0.6932,0.8188,0.8188,0.8188
2025-04-21T10:24:09.457255,second_mid_refactor_tests,Testing evaluation script path,272,56,56,0.7083,0.8293,0.8293,0.8293
2025-04-21T14:59:54.296312,post_refactor_10_more,After refactor and 10 more samples,521,106,107,0.7098,0.8309,0.8296,0.8303
2025-04-21T16:20:35.528103,14_more_total_35,More PDFs and changed string eval to lowercase,890,155,158,0.7398,0.8517,0.8492,0.8505
2025-04-22T14:21:43.482422,50_annotated_PDFs,50 annotated PDFs,1296,198,202,0.7642,0.8675,0.8652,0.8663
2025-04-22T14:24:46.189840,baseline_v1,Sanity check,1296,198,202,0.7642,0.8675,0.8652,0.8663
2025-04-22T17:05:13.353156,null_to_false,Rewrote field definitions to avoid null or unknown values,1296,202,202,0.7624,0.8652,0.8652,0.8652
2025-04-23T15:52:45.712753,baseline_GPT4.1,Re-evaluation using GPT-4.1 model,1620,358,358,0.6935,0.819,0.819,0.819
2025-04-25T11:03:11.780369,baseline_GPT4.1_annotation_fix,PDF reports were missing annotated data but not 50 PDFs,1187,221,221,0.7287,0.843,0.843,0.843
2025-04-25T12:49:20.661268,baseline_GPT4.1_corrected,Re-evaluation using GPT-4.1 model with missing ground_truth fixed and 49 PDFs,1237,231,231,0.7281,0.8426,0.8426,0.8426
2025-04-28T21:34:57.286629,baseline_GPT4o_v2,Evaluation of 43 PDFs.,1068,220,220,0.7082,0.8292,0.8292,0.8292
2025-04-29T14:14:19.075961,baseline_GPT4o_v2_2,Re-evaluation with fix of prints,1068,192,34,0.8253,0.8476,0.9691,0.9043
2025-04-30T16:30:57.495495,baseline_GPT4o_v2_3,Fixed issue with 2 PDFs were missing ground truth,1076,184,32,0.8328,0.854,0.9711,0.9088
2025-04-30T16:34:19.689094,baseline_GPT4.1_v3,Fixed issue with 2 PDFs were missing ground truth,1065,203,27,0.8224,0.8399,0.9753,0.9025
2025-05-06T14:53:19.856037,geminit_2.5_flash_3_pdfs,Test evaluation run,57,33,1,0.6264,0.6333,0.9828,0.7703
2025-05-07T14:47:41.045379,gemini_2.5_flash_43_pdfs_v1,Test evaluation run,979,247,42,0.7721,0.7985,0.9589,0.8714
2025-05-07T21:47:50.870284,gemini_2.5_flash_43_pdfs_v1,Test evaluation run,972,278,46,0.75,0.7776,0.9548,0.8571
